"state_postal_abbr","data_year","officer","officer_rate_per_1000","civilian_count","civilian__rate_per_1000","population"
"AL",1989,7564,1.84161031340730776000,3217,0.78324436518129417000,4107275
"AL",1990,7880,1.95101226092362604000,3369,0.83413201866138276000,4038929
"AL",1991,8271,2.02442577019842603000,3548,0.86841526208004057000,4085603
"AL",1992,8480,2.05817349722996060000,3521,0.85457887780031737000,4120158
"AL",1993,8582,2.05253111622343841000,3847,0.92007541413558233000,4181179
"AL",1994,8743,2.07344398025354689000,3939,0.93415256070212984000,4216656
"AL",1995,9027,2.12415193933871976000,4233,0.99607124839047311000,4249696
"AL",1996,9355,2.18932834074420782000,4601,1.07676105780482097000,4273000
"AL",1997,8805,2.03866635795322991000,4152,0.96133364204677009000,4319000
"AL",1998,9916,2.28393430947954812000,4771,1.09889578363522833000,4341631
"AL",1999,10094,2.31898681366295385000,4804,1.10366679738823363000,4352763
"AL",2000,10155,2.30687346066457038000,4948,1.12401869850992558000,4402062
"AL",2001,10120,2.27417161276520392000,5180,1.16405226819404706000,4449972
"AL",2002,9351,2.37893773853614556000,4262,1.08427255284365868000,3930746
"AL",2003,10147,2.33275683027383627000,5136,1.18074692818433262000,4349789
"AL",2004,9472,2.27568621958113631000,5004,1.20223119117229794000,4162261
"AL",2005,8747,2.19527535182882725000,4039,1.01368665211348271000,3984466
"AL",2006,10320,2.31372651887065932000,5387,1.20775627491824048000,4460337
"AL",2007,10671,2.35387334701113673000,5676,1.25204621100508032000,4533379
"AL",2008,10775,2.42823796236242426000,5397,1.21625988704129965000,4437374
"AL",2009,11245,2.45115509457709455000,5672,1.23636742520598313000,4587633
"AL",2010,10930,2.35424721922047924000,5275,1.13619890955059725000,4642673
"AL",2011,10775,2.41395077601516432000,5410,1.21201612048650013000,4463637
"AL",2012,8633,2.27553385953790821000,4112,1.08386368938027089000,3793835
"AL",2013,9492,2.23049689887615103000,4681,1.09997429241880141000,4255554
"AL",2014,7698,2.26527693584363763000,3757,1.10556578955112322000,3398260
"AL",2015,8801,2.68797746264823046000,4278,1.30657511478344846000,3274209
"AL",2016,6978,2.14803461604881684000,3440,1.05893365996101031000,3248551
"AL",2017,5237,2.19582830358531759000,2827,1.18533637850595624000,2384977
"AL",2018,10661,2.19264553656469353000,5198,1.06907152228339527000,4862163
"AL",2019,10804,2.57538925230280895000,5381,1.28268877884500323000,4195094
"AL",2020,12217,2.51499071983452156000,5769,1.18760591493209093000,4857672
"AR",1960,,,,,628805
"AR",1961,,,,,590370
"AR",1962,,,,,577775
"AR",1963,,,,,658028
"AR",1964,,,,,647259
"AR",1965,,,,,667665
"AR",1966,,,,,614015
"AR",1967,,,,,720368
"AR",1968,,,,,881524
"AR",1969,,,,,816345
"AR",1970,,,,,738163
"AR",1971,1162,1.24207933915393232000,109,0.11651174523905217000,935528
"AR",1972,2071,1.23813281679699644000,340,0.20326661405648420000,1672680
"AR",1973,1770,1.13243399733206228000,332,0.21241134865211564000,1563005
"AR",1974,1725,1.20384476613657950000,337,0.23518590503653756000,1432909
"AR",1975,2081,1.24356554923049526000,413,0.24680085143305841000,1673414
"AR",1976,1868,1.23363518211308234000,356,0.23510392121641184000,1514224
"AR",1977,2590,1.34735063525761708000,574,0.29860203267871514000,1922291
"AR",1978,2804,1.30383492073529966000,640,0.29759427577410549000,2150579
"AR",1979,2654,1.30573480299836857000,667,0.32815565697057718000,2032572
"AR",1980,2756,1.27456579899690377000,723,0.33436541098503680000,2162305
"AR",1981,2856,1.24570208790312485000,774,0.33759573390651913000,2292683
"AR",1982,2921,1.28945336624139574000,820,0.36198280051966604000,2265301
"AR",1983,3452,1.50326694920420915000,1068,0.46508954280130225000,2296332
"AR",1984,3455,1.48634562461577643000,1138,0.48956912324537007000,2324493
"AR",1985,3480,1.49456866018361721000,1190,0.51107376598232887000,2328431
"AR",1986,3466,1.46618448120293118000,1278,0.54061851326524699000,2363959
"AR",1987,3285,1.37562814070351759000,1453,0.60845896147403685000,2388000
"AR",1988,3329,1.38195053870748395000,1537,0.63804685430862206000,2408914
"AR",1989,3408,1.42431567649979438000,1606,0.67120040389045474000,2392728
"AR",1990,3534,1.50336598283508279000,1756,0.74700358400068064000,2350725
"AR",1991,3634,1.53204047217537943000,1899,0.80059021922428331000,2372000
"AR",1992,3786,1.57981179125453580000,1907,0.79574777758119381000,2396488
"AR",1993,3373,1.39444586383296085000,1835,0.75861493036865792000,2418882
"AR",1994,4124,1.68379724860017001000,2204,0.89987612413064372000,2449226
"AR",1995,4660,1.88008070629710036000,2164,0.87306752112165776000,2478617
"AR",1996,4922,1.96095617529880478000,2268,0.90358565737051793000,2510000
"AR",1997,4508,1.79748543430725039000,2145,0.85528089099136027000,2507948
"AR",1998,5282,2.08306384697170945000,2602,1.02615148235902840000,2535688
"AR",1999,4863,1.91006023975713995000,2297,0.90220200919641177000,2545993
"AR",2000,4903,1.83399416473404653000,2472,0.92466522031869529000,2673400
"AR",2001,5030,1.86843679074622319000,2508,0.93161818512754031000,2692090
"AR",2002,5064,1.86858021482030598000,2574,0.94978781061363894000,2710079
"AR",2003,5125,1.89609404626469473000,2580,0.95452149060739754000,2702925
"AR",2004,5234,1.94877920190156766000,2592,0.96508133193138391000,2685784
"AR",2005,5431,1.95419181520707381000,2736,0.98447225306694051000,2779154
"AR",2006,5405,1.92549389541842888000,2861,1.01921147729734043000,2807072
"AR",2007,5586,1.97330631606390036000,2869,1.01350086301241141000,2830782
"AR",2008,6046,2.12075165668377018000,3618,1.26908360798575596000,2850876
"AR",2009,6200,2.14633950452098722000,3770,1.30511289226518094000,2888639
"AR",2010,6175,2.11926357392609107000,3789,1.30038699297262495000,2913748
"AR",2011,5763,1.96966921314397896000,3311,1.13162845127879825000,2925872
"AR",2012,5825,1.97924863983994759000,3312,1.12536849702144316000,2943036
"AR",2013,5893,2.01029812997585459000,3357,1.14518425629203188000,2931406
"AR",2014,5902,1.99142291249818639000,3459,1.16711824031366092000,2963710
"AR",2015,5860,1.97511956045837604000,3492,1.17698250940625412000,2966909
"AR",2016,5978,2.00834649721929007000,3539,1.18894918930395911000,2976578
"AR",2017,5975,2.00430514682080304000,3555,1.19251963128836064000,2981083
"AR",2018,6743,2.23735618358730185000,3885,1.28905958375154496000,3013825
"AR",2019,7138,2.36878041657748066000,3739,1.24080554463199778000,3013365
"AR",2020,6812,2.24779757414729212000,3631,1.19814342215631498000,3030522
"AZ",1960,,,,,896605
